England and Wales Code,England and Wales,Country of birth (extended) (190 categories) Code,Country of birth (extended) (190 categories),Passports held (52 categories) Code,Passports held (52 categories),Observation
K04000001,England and Wales,1,Europe: United Kingdom: England,40,Middle East and Asia: Central Asia,164
K04000001,England and Wales,1,Europe: United Kingdom: England,41,The Americas and the Caribbean: North America: Canada,996
K04000001,England and Wales,1,Europe: United Kingdom: England,42,The Americas and the Caribbean: North America: United States,4423
K04000001,England and Wales,1,Europe: United Kingdom: England,43,The Americas and the Caribbean: Central America,165
K04000001,England and Wales,1,Europe: United Kingdom: England,44,The Americas and the Caribbean: South America,2717
K04000001,England and Wales,1,Europe: United Kingdom: England,45,The Americas and the Caribbean: The Caribbean: Jamaica,709
K04000001,England and Wales,1,Europe: United Kingdom: England,46,The Americas and the Caribbean: The Caribbean: Other Caribbean,358
K04000001,England and Wales,1,Europe: United Kingdom: England,47,Antarctica and Oceania: Australasia: Australia,1443
K04000001,England and Wales,1,Europe: United Kingdom: England,48,Antarctica and Oceania: Australasia: New Zealand,625
K04000001,England and Wales,1,Europe: United Kingdom: England,49,Antarctica and Oceania: Other Antarctica and Oceania,44
K04000001,England and Wales,1,Europe: United Kingdom: England,50,British Overseas Territories,77
K04000001,England and Wales,1,Europe: United Kingdom: England,51,No passport held,7079109
K04000001,England and Wales,2,Europe: United Kingdom: Northern Ireland,-8,Does not apply,0
K04000001,England and Wales,2,Europe: United Kingdom: Northern Ireland,1,Europe: United Kingdom,161238
K04000001,England and Wales,2,Europe: United Kingdom: Northern Ireland,2,Europe: Ireland,21008
K04000001,England and Wales,2,Europe: United Kingdom: Northern Ireland,3,Europe: Other Europe: EU Member countries: France,13
K04000001,England and Wales,2,Europe: United Kingdom: Northern Ireland,4,Europe: Other Europe: EU Member countries: Germany,16
K04000001,England and Wales,2,Europe: United Kingdom: Northern Ireland,5,Europe: Other Europe: EU Member countries: Italy,10
K04000001,England and Wales,2,Europe: United Kingdom: Northern Ireland,6,Europe: Other Europe: EU Member countries: Portugal,38
K04000001,England and Wales,2,Europe: United Kingdom: Northern Ireland,7,Europe: Other Europe: EU Member countries: Spain,11
K04000001,England and Wales,2,Europe: United Kingdom: Northern Ireland,8,Europe: Other Europe: EU Member countries: Lithuania,40
K04000001,England and Wales,2,Europe: United Kingdom: Northern Ireland,9,Europe: Other Europe: EU Member countries: Poland,83
K04000001,England and Wales,2,Europe: United Kingdom: Northern Ireland,10,Europe: Other Europe: EU Member countries: Romania,24
K04000001,England and Wales,2,Europe: United Kingdom: Northern Ireland,11,Europe: Other Europe: EU Member countries: Other EU countries,123
K04000001,England and Wales,2,Europe: United Kingdom: Northern Ireland,12,Europe: Other Europe: Rest of Europe: Turkey,0
K04000001,England and Wales,2,Europe: United Kingdom: Northern Ireland,13,Europe: Other Europe: Rest of Europe: Other Europe,7
K04000001,England and Wales,2,Europe: United Kingdom: Northern Ireland,14,Africa: North Africa,14
K04000001,England and Wales,2,Europe: United Kingdom: Northern Ireland,15,Africa: Central and Western Africa: Ghana,0
K04000001,England and Wales,2,Europe: United Kingdom: Northern Ireland,16,Africa: Central and Western Africa: Nigeria,22
K04000001,England and Wales,2,Europe: United Kingdom: Northern Ireland,17,Africa: Central and Western Africa: Other Central and Western Africa,0
K04000001,England and Wales,2,Europe: United Kingdom: Northern Ireland,18,Africa: South and Eastern Africa: Kenya,0
K04000001,England and Wales,2,Europe: United Kingdom: Northern Ireland,19,Africa: South and Eastern Africa: Somalia,0
K04000001,England and Wales,2,Europe: United Kingdom: Northern Ireland,20,Africa: South and Eastern Africa: South Africa,1
K04000001,England and Wales,2,Europe: United Kingdom: Northern Ireland,21,Africa: South and Eastern Africa: Zimbabwe,0
K04000001,England and Wales,2,Europe: United Kingdom: Northern Ireland,22,Africa: South and Eastern Africa: Other South and Eastern Africa,3
K04000001,England and Wales,2,Europe: United Kingdom: Northern Ireland,23,Middle East and Asia: Middle East: Iran,2
K04000001,England and Wales,2,Europe: United Kingdom: Northern Ireland,24,Middle East and Asia: Middle East: Iraq,0
K04000001,England and Wales,2,Europe: United Kingdom: Northern Ireland,25,Middle East and Asia: Middle East: Other Middle East,4
K04000001,England and Wales,2,Europe: United Kingdom: Northern Ireland,26,Middle East and Asia: Eastern Asia: China,22
K04000001,England and Wales,2,Europe: United Kingdom: Northern Ireland,27,Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),3
K04000001,England and Wales,2,Europe: United Kingdom: Northern Ireland,28,Middle East and Asia: Eastern Asia: Japan,1
K04000001,England and Wales,2,Europe: United Kingdom: Northern Ireland,29,Middle East and Asia: Eastern Asia: Other Eastern Asia,0
K04000001,England and Wales,2,Europe: United Kingdom: Northern Ireland,30,Middle East and Asia: Southern Asia: Afghanistan,0
K04000001,England and Wales,2,Europe: United Kingdom: Northern Ireland,31,Middle East and Asia: Southern Asia: Bangladesh,4
K04000001,England and Wales,2,Europe: United Kingdom: Northern Ireland,32,Middle East and Asia: Southern Asia: India,40
K04000001,England and Wales,2,Europe: United Kingdom: Northern Ireland,33,Middle East and Asia: Southern Asia: Pakistan,4
K04000001,England and Wales,2,Europe: United Kingdom: Northern Ireland,34,Middle East and Asia: Southern Asia: Sri Lanka,2
K04000001,England and Wales,2,Europe: United Kingdom: Northern Ireland,35,Middle East and Asia: Southern Asia: Other Southern Asia,0
K04000001,England and Wales,2,Europe: United Kingdom: Northern Ireland,36,Middle East and Asia: South-East Asia: Malaysia,11
K04000001,England and Wales,2,Europe: United Kingdom: Northern Ireland,37,Middle East and Asia: South-East Asia: Philippines,1
K04000001,England and Wales,2,Europe: United Kingdom: Northern Ireland,38,Middle East and Asia: South-East Asia: Singapore,0
K04000001,England and Wales,2,Europe: United Kingdom: Northern Ireland,39,Middle East and Asia: South-East Asia: Other South-East Asia,1
K04000001,England and Wales,2,Europe: United Kingdom: Northern Ireland,40,Middle East and Asia: Central Asia,1
K04000001,England and Wales,2,Europe: United Kingdom: Northern Ireland,41,The Americas and the Caribbean: North America: Canada,2
K04000001,England and Wales,2,Europe: United Kingdom: Northern Ireland,42,The Americas and the Caribbean: North America: United States,9
K04000001,England and Wales,2,Europe: United Kingdom: Northern Ireland,43,The Americas and the Caribbean: Central America,0
K04000001,England and Wales,2,Europe: United Kingdom: Northern Ireland,44,The Americas and the Caribbean: South America,0
K04000001,England and Wales,2,Europe: United Kingdom: Northern Ireland,45,The Americas and the Caribbean: The Caribbean: Jamaica,0
K04000001,England and Wales,2,Europe: United Kingdom: Northern Ireland,46,The Americas and the Caribbean: The Caribbean: Other Caribbean,0
K04000001,England and Wales,2,Europe: United Kingdom: Northern Ireland,47,Antarctica and Oceania: Australasia: Australia,3
K04000001,England and Wales,2,Europe: United Kingdom: Northern Ireland,48,Antarctica and Oceania: Australasia: New Zealand,3
K04000001,England and Wales,2,Europe: United Kingdom: Northern Ireland,49,Antarctica and Oceania: Other Antarctica and Oceania,0
K04000001,England and Wales,2,Europe: United Kingdom: Northern Ireland,50,British Overseas Territories,0
K04000001,England and Wales,2,Europe: United Kingdom: Northern Ireland,51,No passport held,15577
K04000001,England and Wales,3,Europe: United Kingdom: Scotland,-8,Does not apply,0
K04000001,England and Wales,3,Europe: United Kingdom: Scotland,1,Europe: United Kingdom,576131
K04000001,England and Wales,3,Europe: United Kingdom: Scotland,2,Europe: Ireland,796
K04000001,England and Wales,3,Europe: United Kingdom: Scotland,3,Europe: Other Europe: EU Member countries: France,67
K04000001,England and Wales,3,Europe: United Kingdom: Scotland,4,Europe: Other Europe: EU Member countries: Germany,51
K04000001,England and Wales,3,Europe: United Kingdom: Scotland,5,Europe: Other Europe: EU Member countries: Italy,92
K04000001,England and Wales,3,Europe: United Kingdom: Scotland,6,Europe: Other Europe: EU Member countries: Portugal,38
K04000001,England and Wales,3,Europe: United Kingdom: Scotland,7,Europe: Other Europe: EU Member countries: Spain,39
K04000001,England and Wales,3,Europe: United Kingdom: Scotland,8,Europe: Other Europe: EU Member countries: Lithuania,33
K04000001,England and Wales,3,Europe: United Kingdom: Scotland,9,Europe: Other Europe: EU Member countries: Poland,202
K04000001,England and Wales,3,Europe: United Kingdom: Scotland,10,Europe: Other Europe: EU Member countries: Romania,48
K04000001,England and Wales,3,Europe: United Kingdom: Scotland,11,Europe: Other Europe: EU Member countries: Other EU countries,497
K04000001,England and Wales,3,Europe: United Kingdom: Scotland,12,Europe: Other Europe: Rest of Europe: Turkey,1
K04000001,England and Wales,3,Europe: United Kingdom: Scotland,13,Europe: Other Europe: Rest of Europe: Other Europe,38
K04000001,England and Wales,3,Europe: United Kingdom: Scotland,14,Africa: North Africa,44
K04000001,England and Wales,3,Europe: United Kingdom: Scotland,15,Africa: Central and Western Africa: Ghana,3
K04000001,England and Wales,3,Europe: United Kingdom: Scotland,16,Africa: Central and Western Africa: Nigeria,65
K04000001,England and Wales,3,Europe: United Kingdom: Scotland,17,Africa: Central and Western Africa: Other Central and Western Africa,5
K04000001,England and Wales,3,Europe: United Kingdom: Scotland,18,Africa: South and Eastern Africa: Kenya,3
K04000001,England and Wales,3,Europe: United Kingdom: Scotland,19,Africa: South and Eastern Africa: Somalia,0
K04000001,England and Wales,3,Europe: United Kingdom: Scotland,20,Africa: South and Eastern Africa: South Africa,5
K04000001,England and Wales,3,Europe: United Kingdom: Scotland,21,Africa: South and Eastern Africa: Zimbabwe,5
K04000001,England and Wales,3,Europe: United Kingdom: Scotland,22,Africa: South and Eastern Africa: Other South and Eastern Africa,12
K04000001,England and Wales,3,Europe: United Kingdom: Scotland,23,Middle East and Asia: Middle East: Iran,8
K04000001,England and Wales,3,Europe: United Kingdom: Scotland,24,Middle East and Asia: Middle East: Iraq,7
K04000001,England and Wales,3,Europe: United Kingdom: Scotland,25,Middle East and Asia: Middle East: Other Middle East,35
K04000001,England and Wales,3,Europe: United Kingdom: Scotland,26,Middle East and Asia: Eastern Asia: China,45
K04000001,England and Wales,3,Europe: United Kingdom: Scotland,27,Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),5
K04000001,England and Wales,3,Europe: United Kingdom: Scotland,28,Middle East and Asia: Eastern Asia: Japan,2
K04000001,England and Wales,3,Europe: United Kingdom: Scotland,29,Middle East and Asia: Eastern Asia: Other Eastern Asia,9
K04000001,England and Wales,3,Europe: United Kingdom: Scotland,30,Middle East and Asia: Southern Asia: Afghanistan,3
K04000001,England and Wales,3,Europe: United Kingdom: Scotland,31,Middle East and Asia: Southern Asia: Bangladesh,7
K04000001,England and Wales,3,Europe: United Kingdom: Scotland,32,Middle East and Asia: Southern Asia: India,99
K04000001,England and Wales,3,Europe: United Kingdom: Scotland,33,Middle East and Asia: Southern Asia: Pakistan,24
K04000001,England and Wales,3,Europe: United Kingdom: Scotland,34,Middle East and Asia: Southern Asia: Sri Lanka,6
K04000001,England and Wales,3,Europe: United Kingdom: Scotland,35,Middle East and Asia: Southern Asia: Other Southern Asia,7
K04000001,England and Wales,3,Europe: United Kingdom: Scotland,36,Middle East and Asia: South-East Asia: Malaysia,17
K04000001,England and Wales,3,Europe: United Kingdom: Scotland,37,Middle East and Asia: South-East Asia: Philippines,2
K04000001,England and Wales,3,Europe: United Kingdom: Scotland,38,Middle East and Asia: South-East Asia: Singapore,2
K04000001,England and Wales,3,Europe: United Kingdom: Scotland,39,Middle East and Asia: South-East Asia: Other South-East Asia,9
K04000001,England and Wales,3,Europe: United Kingdom: Scotland,40,Middle East and Asia: Central Asia,3
K04000001,England and Wales,3,Europe: United Kingdom: Scotland,41,The Americas and the Caribbean: North America: Canada,27
K04000001,England and Wales,3,Europe: United Kingdom: Scotland,42,The Americas and the Caribbean: North America: United States,38
K04000001,England and Wales,3,Europe: United Kingdom: Scotland,43,The Americas and the Caribbean: Central America,0
K04000001,England and Wales,3,Europe: United Kingdom: Scotland,44,The Americas and the Caribbean: South America,4
K04000001,England and Wales,3,Europe: United Kingdom: Scotland,45,The Americas and the Caribbean: The Caribbean: Jamaica,1
K04000001,England and Wales,3,Europe: United Kingdom: Scotland,46,The Americas and the Caribbean: The Caribbean: Other Caribbean,5
